Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 15033.4, -0.0878578, 15059.1, -120.111, 15058.5, 119.912, 51.8157, -12.5956, 41.3688, -126.583, 38.8215, 119.851
60, 1.00833, 14968.2, 0.189965, 15012.5, -119.879, 15014.9, 120.173, 100.625, -26.4612, 80.5991, -143.666, 72.5642, 101.957
61, 1.01667, 0.0499632, -25.8041, 1.12437, -82.4776, 1.13618, 97.4453, 0.00555248, -90.7018, 0.954263, 58.2813, 0.959882, -121.702
62, 1.02500, 0.0503599, -25.9279, 1.12832, -82.2749, 1.14015, 97.6506, 0.00557288, -90.532, 0.954469, 58.2556, 0.9601, -121.727
62, 1.03333, 0.0507569, -26.0506, 1.13229, -82.0737, 1.14415, 97.8544, 0.00559329, -90.3638, 0.954677, 58.23, 0.960319, -121.752
63, 1.04167, 0.0511541, -26.1723, 1.13628, -81.874, 1.14816, 98.0567, 0.0056137, -90.1972, 0.954887, 58.2044, 0.96054, -121.776
63, 1.05000, 0.0515516, -26.293, 1.1403, -81.6757, 1.1522, 98.2576, 0.00563411, -90.0322, 0.955099, 58.1788, 0.960764, -121.801
63, 1.05833, 0.0519494, -26.4128, 1.14434, -81.4788, 1.15626, 98.4571, 0.00565453, -89.8686, 0.955312, 58.1533, 0.960989, -121.826
64, 1.06667, 0.0523475, -26.5317, 1.1484, -81.2834, 1.16034, 98.6551, 0.00567495, -89.7064, 0.955528, 58.1277, 0.961217, -121.85
65, 1.07500, 0.0527458, -26.6496, 1.15248, -81.0895, 1.16444, 98.8517, 0.00569538, -89.5456, 0.955746, 58.1022, 0.961447, -121.875
65, 1.08333, 0.0531444, -26.7666, 1.15658, -80.897, 1.16857, 99.0468, 0.00571581, -89.3861, 0.955965, 58.0768, 0.961679, -121.899
66, 1.09167, 0.0535433, -26.8829, 1.1607, -80.706, 1.17272, 99.2406, 0.00573624, -89.2279, 0.956187, 58.0513, 0.961913, -121.924
66, 1.10000, 0.0539424, -26.9982, 1.16484, -80.5164, 1.17688, 99.4329, 0.00575669, -89.0709, 0.956411, 58.0259, 0.962149, -121.948
66, 1.10833, 0.0543418, -27.1128, 1.169, -80.3282, 1.18107, 99.6238, 0.00577714, -88.9151, 0.956636, 58.0004, 0.962387, -121.973
67, 1.11667, 0.0547415, -27.2266, 1.17319, -80.1414, 1.18528, 99.8133, 0.0057976, -88.7603, 0.956864, 57.975, 0.962627, -121.997
